"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"14059388","JJ527208","12/14/2025 10:44:00 PM","032XX W POLK ST","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","APARTMENT","false","true","1134","011","24","27","26","1154933","1896189","2025","12/22/2025 03:42:20 PM","41.870954857","-87.706655951","(41.870954857, -87.706655951)"
"14056060","JJ522471","12/14/2025 10:43:00 PM","093XX S PERRY AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0634","006","9","49","07","1177250","1843114","2025","12/22/2025 03:42:20 PM","41.724835671","-87.626325486","(41.724835671, -87.626325486)"
"14056314","JJ523163","12/14/2025 10:43:00 PM","0000X E IDA B WELLS DR","2851","PUBLIC PEACE VIOLATION","ARSON THREAT","HOTEL / MOTEL","false","false","0113","001","4","32","24","1176730","1898080","2025","12/22/2025 03:42:20 PM","41.875679322","-87.62657476","(41.875679322, -87.62657476)"
"14055839","JJ522467","12/14/2025 10:35:00 PM","044XX N CLIFTON AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","true","1913","019","46","3","14","1167857","1929577","2025","12/22/2025 03:42:20 PM","41.962304742","-87.658242532","(41.962304742, -87.658242532)"
"14055830","JJ522470","12/14/2025 10:34:00 PM","003XX N FRANCISCO AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","APARTMENT","false","true","1222","012","27","27","04A","1157000","1902032","2025","12/22/2025 03:42:20 PM","41.886946961","-87.698908655","(41.886946961, -87.698908655)"
"14057943","JJ524182","12/14/2025 10:30:00 PM","035XX W FULLERTON AVE","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","1413","014","35","22","03","1152585","1915732","2025","12/22/2025 03:42:20 PM","41.924629465","-87.714759032","(41.924629465, -87.714759032)"
"14055821","JJ522476","12/14/2025 10:30:00 PM","064XX S CALIFORNIA AVE","0560","ASSAULT","SIMPLE","RESIDENCE","false","true","0825","008","16","66","08A","1158819","1861820","2025","12/22/2025 03:42:20 PM","41.776563424","-87.693328946","(41.776563424, -87.693328946)"
"14055910","JJ522478","12/14/2025 10:28:00 PM","018XX W 88TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","2221","022","18","71","08B","1165736","1846325","2025","12/22/2025 03:42:20 PM","41.733898907","-87.6684105","(41.733898907, -87.6684105)"
"14056209","JJ522956","12/14/2025 10:25:00 PM","042XX W 21ST PL","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","true","1012","010","24","29","14","1148476","1889420","2025","12/22/2025 03:42:20 PM","41.852506804","-87.73053658","(41.852506804, -87.73053658)"
"14055879","JJ522474","12/14/2025 10:20:00 PM","055XX W GRAND AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","true","2515","025","37","19","08B","1139200","1913378","2025","12/22/2025 03:42:20 PM","41.918424256","-87.763999369","(41.918424256, -87.763999369)"
"14055796","JJ522464","12/14/2025 10:16:00 PM","004XX E 40TH ST","1320","CRIMINAL DAMAGE","TO VEHICLE","APARTMENT","false","false","0214","002","3","38","14","1180053","1878232","2025","12/22/2025 03:42:20 PM","41.821139392","-87.614983694","(41.821139392, -87.614983694)"
"14055805","JJ522473","12/14/2025 10:16:00 PM","030XX W CHICAGO AVE","5007","OTHER OFFENSE","OTHER WEAPONS VIOLATION","STREET","true","false","1211","012","27","23","26","1156047","1905176","2025","12/22/2025 03:42:20 PM","41.895593672","-87.702323437","(41.895593672, -87.702323437)"
"14055794","JJ522455","12/14/2025 10:06:00 PM","044XX W MONROE ST","2022","NARCOTICS","POSSESS - COCAINE","ALLEY","true","false","1113","011","28","26","18","1146904","1899296","2025","12/22/2025 03:42:20 PM","41.879637902","-87.736054156","(41.879637902, -87.736054156)"
"14058613","JJ522492","12/14/2025 10:01:00 PM","020XX S CLARK ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0131","001","3","33","08B","1175819","1890453","2025","12/22/2025 03:42:20 PM","41.854770868","-87.630148953","(41.854770868, -87.630148953)"
"14056036","JJ522710","12/14/2025 10:00:00 PM","056XX W WASHINGTON BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1512","015","29","25","07","1138923","1900190","2025","12/22/2025 03:42:20 PM","41.88223983","-87.765337908","(41.88223983, -87.765337908)"
"14056207","JJ522632","12/14/2025 10:00:00 PM","078XX S COLFAX AVE","0620","BURGLARY","UNLAWFUL ENTRY","RESIDENCE","false","false","0421","004","7","43","05","1194881","1853458","2025","12/22/2025 03:42:20 PM","41.752804968","-87.561404219","(41.752804968, -87.561404219)"
"14056101","JJ522867","12/14/2025 10:00:00 PM","003XX W ONTARIO ST","1320","CRIMINAL DAMAGE","TO VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","1831","018","42","8","14","1174093","1904430","2025","12/22/2025 03:42:20 PM","41.893163281","-87.636067309","(41.893163281, -87.636067309)"
"14055958","JJ522628","12/14/2025 10:00:00 PM","012XX E 63RD ST","0760","BURGLARY","BURGLARY FROM MOTOR VEHICLE","STREET","false","false","0314","003","20","42","06","1185418","1863477","2025","12/22/2025 03:42:20 PM","41.780525782","-87.595766938","(41.780525782, -87.595766938)"
"14057825","JJ524154","12/14/2025 10:00:00 PM","073XX W HOWARD ST","0810","THEFT","OVER $500","STREET","false","false","1611","016","41","9","06","1126553","1949911","2025","12/22/2025 03:42:20 PM","42.018895769","-87.809645931","(42.018895769, -87.809645931)"
"14056344","JJ523214","12/14/2025 10:00:00 PM","008XX S CAMPBELL AVE","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","STREET","false","false","1135","011","28","28","07","1159854","1896209","2025","12/22/2025 03:42:20 PM","41.870909732","-87.688588611","(41.870909732, -87.688588611)"
"14056315","JJ523172","12/14/2025 10:00:00 PM","058XX S NEW ENGLAND AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0811","008","13","56","14","1131394","1865112","2025","12/22/2025 03:42:20 PM","41.786113398","-87.793793984","(41.786113398, -87.793793984)"
"14057307","JJ524245","12/14/2025 09:57:00 PM","066XX S OAKLEY AVE","0460","BATTERY","SIMPLE","SIDEWALK","false","false","0832","008","16","66","08B","1162216","1860586","2025","12/22/2025 03:42:20 PM","41.773107107","-87.680909964","(41.773107107, -87.680909964)"
"14056594","JJ523232","12/14/2025 09:50:00 PM","014XX W CULLERTON ST","0820","THEFT","$500 AND UNDER","RESIDENCE - PORCH / HALLWAY","false","false","1235","012","25","31","06","1166989","1890515","2025","12/22/2025 03:42:20 PM","41.855134861","-87.662556895","(41.855134861, -87.662556895)"
